word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
brinishness,,n. State or quality of being brinish.,[化] 含盐度,,,,,0,0,,,
brinjal, 'brɪndʒəl,n. hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable, [医]茄子,,,,,0,0,,,
brinjaul,'brindʒɒ:l,,n. 茄子,,,,,0,0,,,
brink,briŋk,n. a region marking a boundary\nn. the edge of a steep place,"n. 边缘, 陡岸",,2,,toefl ielts gre,9615,7663,s:brinks,,
brink-of-war policy,,,[法] 战争边缘政策,,,,,0,0,,,
brinker,,, [人名] 布林克尔,,,,,0,0,,,
brinkerhoff,,, [人名] 布林克霍夫,,,,,0,0,,,
Brinkerhoff's speculum,,,[医] 布林克霍夫氏窥器(检直肠),,,,,0,0,,,
Brinkley,,,布林克利（人名）,,,,,47992,0,,,
brinkman,'briŋk(s)mən,,n. 边缘主义者\nn. (Brinkman)人名；(英、荷、瑞典)布林克曼,,,,,0,0,s:brinkmen,,
brinkmann,,, [人名] 布林克曼; [地名] [阿根廷] 布林克曼,,,,,0,0,,,
brinkmanship,'briŋkmәnʃip,n. the policy of pushing a dangerous situation to the brink of disaster (to the limits of safety),"n. 边缘政策\n[法] 外交冒险政策, 紧急政策",,,,,35009,29179,,,
brinkmen,,plural of brinkman,(brinkman 的复数) n. 边缘主义者\nn. (Brinkman)人名；(英、荷、瑞典)布林克曼,,,,,0,0,0:brinkman/1:s,,
brinks,,plural of brink\nn. a region marking a boundary\nn. the edge of a steep place,"(brink 的复数) n. 边缘, 陡岸",,,,,0,0,0:brink/1:s,,
brinksmanship,ˈbriŋksmənʃip,,n. 边缘政策（将危险的政策推到极限）,,,,,0,0,,,
brinley,,, [人名] 布林利,,,,,0,0,,,
brinsley,,, [人名] 布林斯利,,,,,0,0,,,
brinsmade,,, [人名] 布林斯梅德,,,,,0,0,,,
brinson,,, [人名] 布林森; [地名] [美国] 布林森,,,,,0,0,,,
brinton,ˈbrɪntən,n. United States anthropologist who was the first to attempt a systematic classification of Native American languages (1837-1899)," 布林顿, 丹尼尔·加里森((1837-1899) 美国人类学家, 是第一个试图对美洲土著人的语言进行系统分类的人)",,,,,0,0,s:brintons,,
Brinton's disease,,,"[医] 布林顿氏病, 皮革状胃",,,,,0,0,,,
Brinton-Reishauer bottle,,,[化] 布林顿-雷斯豪尔比重瓶,,,,,0,0,,,
brintons,,plural of brinton,"(brinton 的复数)  布林顿, 丹尼尔·加里森((1837-1899) 美国人类学家, 是第一个试图对美洲土著人的语言进行系统分类的人)",,,,,0,0,0:brinton/1:s,,
briny,'braini,n any very large body of (salt) water\ns slightly salty (especially from containing a mixture of seawater and fresh water),"a. 盐水似的, 海水似的, 咸的\n[机] 含盐度",,,,toefl,0,26904,,,
brio,'bri:әu,n quality of being active or spirited or alive and vigorous,"n. 元气充沛, 生动",,,,,46907,34364,,,
brioche,'bri(:)әuʃ,n. a light roll rich with eggs and butter and somewhat sweet,"n. <法>奶油糕点,奶油蛋卷",,,,,0,27976,,,
